,id,uri,name,popularity,genres
126,5IHqlcCbQkyhWl0KmIwgeq,https://open.spotify.com/artist/5IHqlcCbQkyhWl0KmIwgeq,Louisa,57,uk-pop
127,4kYGAK2zu9EAomwj3hXkXy,https://open.spotify.com/artist/4kYGAK2zu9EAomwj3hXkXy,JP Cooper,75,"neo-mellow,pop,pop-rock,tropical-house,uk-pop"
128,3t5xRXzsuZmMDkQzgOX35S,https://open.spotify.com/artist/3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,82,"dance-pop,deep-euro-house,deep-house,edm,german-dance,pop,pop-dance,tropical-house"
129,7DMveApC7UnC2NPfPvlHSU,https://open.spotify.com/artist/7DMveApC7UnC2NPfPvlHSU,Cheat Codes,77,"dance-pop,edm,electro-house,electropop,pop,pop-dance,tropical-house"
130,0C0XlULifJtAgn6ZNCW2eu,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,The Killers,81,"alternative-rock,dance-rock,modern-rock,permanent-wave,rock"
131,6ydoSd3N2mwgwBHtF6K7eX,https://open.spotify.com/artist/6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,83,"neo-mellow,pop"
132,6VuMaDnrHyPL1p4EHjYLi7,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,82,"dance-pop,pop,viral-pop"
133,6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,94,"dance-pop,pop,uk-pop"
134,7keGfmQR4X5w0two1xKZ7d,https://open.spotify.com/artist/7keGfmQR4X5w0two1xKZ7d,Kungs,74,"edm,new-french-touch,pop-dance,tropical-house"
135,726MxZBpkxnnoKl6aN7mmj,https://open.spotify.com/artist/726MxZBpkxnnoKl6aN7mmj,Cookin' On 3 Burners,64,"bboy,funk,instrumental-funk,modern-funk"
136,25u4wHJWxCA9vO0CzxAbK7,https://open.spotify.com/artist/25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,77,"danish-pop,pop,scandipop"
137,5Q81rlcTFh3k6DQJXPdsot,https://open.spotify.com/artist/5Q81rlcTFh3k6DQJXPdsot,Mura Masa,68,"channel-islands-indie,vapor-soul"
138,13ubrt8QOOCPljQ2FL1Kca,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,86,"east-coast-hip-hop,hip-hop,rap,trap"
139,55UOywvWbUD9c6C3NSGdft,https://open.spotify.com/artist/55UOywvWbUD9c6C3NSGdft,Mike Dunn,47,"chicago-house,classic-house,deep-house,disco-house,funky-house,hip-house,soulful-house,vocal-house"
140,7uMh23xWiuR7zsNkuNcm2G,https://open.spotify.com/artist/7uMh23xWiuR7zsNkuNcm2G,MNEK,76,"uk-contemporary-r-b,uk-dance"
141,0AJUYWKztkg5dnrHDIBv47,https://open.spotify.com/artist/0AJUYWKztkg5dnrHDIBv47,MiC LOWRY,41,
142,2mxe0TnaNL039ysAj51xPQ,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ,R. Kelly,71,
143,19ra5tSw0tWufvUp8GotLo,https://open.spotify.com/artist/19ra5tSw0tWufvUp8GotLo,George Michael,78,
144,4VZY0nxYMSNotbS7WjNVQy,https://open.spotify.com/artist/4VZY0nxYMSNotbS7WjNVQy,Nyla,61,
145,374sWpAJsbZckf98df2jJJ,https://open.spotify.com/artist/374sWpAJsbZckf98df2jJJ,Fuse ODG,65,"afro-dancehall,azonto,dance-pop"
146,2zzpznMuhKlKlqh1ma7Sms,https://open.spotify.com/artist/2zzpznMuhKlKlqh1ma7Sms,Dakota,64,
147,3S0tlB4fE7ChxI2pWz8Xip,https://open.spotify.com/artist/3S0tlB4fE7ChxI2pWz8Xip,Giggs,66,"grime,london-rap,uk-alternative-hip-hop,uk-hip-hop"
148,3xcx9CcYTM4M1890B8o9Bp,https://open.spotify.com/artist/3xcx9CcYTM4M1890B8o9Bp,Donae'o,54,"azonto,grime,uk-funky,uk-hip-hop"
149,7guDJrEfX3qb6FEbdPA5qi,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,82,"adult-standards,motown,quiet-storm,soul"
150,72luDUYRlE8N8lPSgyhiwo,https://open.spotify.com/artist/72luDUYRlE8N8lPSgyhiwo,John Gibbons,57,"house,pop-dance,tropical-house,uk-dance"
