,id,name,country
582,Q21709935,Source Music,KR
583,Q1328605,King Records,JP
584,Q17626128,Protocol Recordings,NL
585,Q2293124,Vicious Vinyl,AU
586,Q4973330,BBR Music Group,US
587,Q21036405,Alles oder Nix Records,
588,Q5483919,Kaiku Entertainment,FI
589,Q19794485,YMC Entertainment,KR
590,Q7532146,Situation Two,GB
591,Q59625658,TenThousand Projects,US
592,Q106393992,Tha Lights Global,US
593,Q729590,Fontana Records,IT
594,Q66717800,Fruits de Mer Records,GB
595,Q104787825,Abyss Company,KR
596,Q3699593,Curb Records,US
597,Q69426967,Demon,CL
598,Q109640463,L'Escargot,FR
599,Q5665848,Alerce,
600,Q4796656,ArtPeople,DK
601,Q1063242,Charisma,GB
602,Q3704699,Defected Records,GB
603,Q60862929,SBM Label,PL
604,Q772494,Chess Records,US
605,Q2047343,Flair Records,US
606,Q5190199,Crush Management,
607,Q281881,Uprising Records,US
608,Q4257395,list of Universal Music Group labels,
609,Q377453,Third Man Records,US
610,Q778673,Sub Pop,US
611,Q2737528,Sympathy for the Record Industry,US
612,Q4382045,Capitol Christian Music Group,US
613,Q3931027,Real Music,
614,Q31188182,Ada Müzik,TR
615,Q264137,Caroline Records,US
616,Q30646862,Purple Pyramid Records,US
617,Q55854525,Rich Forever Music,US
618,Q12472352,Aquarius Musikindo,ID
619,Q711447,HIM International Music,TW
620,Q97311156,SUMMIT,JP
621,Q2533333,Blackground Records,US
622,Q2338889,MCA Records,US
623,Q8074743,Zoë Records,US
624,Q3437460,Mariann,SE
625,Q1130708,Flying Dutchman Records,US
626,Q647983,Argo Records,US
627,Q1524530,Impulse!,US
628,Q627091,Rhino Entertainment Company,US
629,Q885977,Bluebird Records,US
630,Q1372258,Tokuma Shoten,JP
631,Q158867,Century Media Records,US
632,Q42291466,First Access Entertainment,GB
633,Q59210322,Scumgang Records INC.,US
634,Q1750746,Stiff Records,GB
635,Q90922783,Generation Azzlack,DE
636,Q10437741,Bungalo Records,US
637,Q4883239,Bell Records,US
638,Q287177,ABC Records,US
639,Q3414893,Qwest Records,US
640,Q773717,Nippon Columbia,JP
641,Q4779433,Apex,CA
642,Q1025118,Cadence,US
643,Q1251139,Dot Records,US
644,Q48977477,Ammor,US
645,Q994175,Brunswick Records,US
646,Q7562453,Sony Classical,US
647,Q213710,Apple Records,GB
648,Q679007,Vee-Jay Records,US
649,Q656752,Rykodisc,US
650,Q2299832,Mushroom Records,AU
651,Q2891955,Deconstruction Records,GB
652,Q5445732,Festival,AU
653,Q7969735,Warner Music Australia,AU
654,Q836202,Pete Waterman Entertainment,
655,Q766909,Hear Music,US
656,Q22102010,Supreme Records UK,
657,Q1881437,MGM Records,US
658,Q9161113,Asfalt Records,PL
659,Q543391,DJM Records,GB
660,Q510092,Uni,US
661,Q7135347,Paramount Records,US
662,Q18689127,Rocket Records,FI
663,Q17150066,Congress,US
664,Q3939773,The Rocket Record Company,GB
665,Q478062,RAK,GB
666,Q1795027,Philles Records,US
667,Q3176895,Challenge Records,NL
668,Q1757254,OKeh Records,US
669,Q7077570,Ode Records,US
670,Q4883242,Bell Records,
671,Q1191537,V2 Records,US
672,Q136485,ZTT Records,GB
673,Q5463202,Fly Records,GB
674,Q4574114,Grappa,NO
675,Q1475707,Fuzzy Door Productions,US
676,Q5035920,Capitol Records Nashville,US
677,Q170416,Koninklijke Philips NV,NL
678,Q2755989,Syco Entertainment,GB
679,Q1112471,Columbia Graphophone Co. Ltd.,GB
680,Q7493975,Shelter Records,US
681,Q4839773,Backstreet Records,US
682,Q15715824,Sonic Boom,
683,Q6127073,JMJ Records,US
684,Q990796,Brother Records,US
685,Q5031935,Candix Records,US
686,Q1060070,Challenge Records,US
687,Q304509,MCA Inc.,US
688,Q2984481,Colpix Records,US
689,Q3844913,Manticore,GB
690,Q2998569,Cotillion,US
691,Q2085941,Lioness Records,GB
692,Q1572589,Musicraft Records,US
693,Q6012600,In the Name Of,
694,Q125272,Aladdin,US
695,Q7923012,Verve Forecast Records,US
696,Q7562494,Sony Masterworks,US
697,Q4998737,Burgundy Records,US
698,Q5621680,Gut Records,GB
699,Q3922628,Profile Records,US
700,Q2016567,Maverick,US
701,Q3512782,Hib-Tone,US
702,Q5158829,Concord Bicycle Music,US
703,Q7012398,New West Records,US
704,Q4020374,Windstar Records,US
705,Q949848,Roulette,US
706,Q2511544,SBK Records,US
707,Q1395670,Fania Records,US
708,Q5808276,Belter,ES
709,Q1124153,Spinefarm Records,FI
710,Q2704081,143 Records,US
711,Q6753829,MapleMusic Recordings,CA
712,Q15279630,Orlando,FR
713,Q4819829,Audio Fidelity,US
714,Q1046707,Casablanca Records,US
715,Q3016029,Dare to Care Records,CA
716,Q3117047,Grosse Boîte,CA
717,Q1814125,Schema Records,IT
718,Q5196018,Curtom Records,US
719,Q2858450,Apollo Records,US
720,Q19373938,Heilo,NO
721,Q50281827,Talik Records,NO
722,Q86750472,Sony Music Philippines,PH
723,Q2860203,Kayax,PL
724,Q3045977,EMI Classics,GB
725,Q7971173,Warwick Records,US
726,Q1656672,Miracle,US
727,Q59469453,Gordy,US
728,Q60545294,Tamla Motown,
729,Q1392321,Liberty Records,US
730,Q7261457,Purple Ribbon Records,
731,Q7577381,Spin,AU
732,Q1096973,Subterranean Records,
733,Q1397901,Cleopatra Records,US
734,Q1780995,20th Century Fox Records,US
735,Q5465132,Fontana Distribution,US
736,Q5971773,RCA/Jive Label Group,US
737,Q7371865,Rowdy Records,US
738,Q3439752,Blue Thumb Records,US
739,Q7201159,Planet Records,US
740,Q1470264,Frontiers Records,IT
741,Q3179416,MediaPro Music,RO
742,Q64022956,Warner Music Sweden,SE
743,Q3013343,Dance Nation,GB
744,Q51729296,Broma 16,RU
745,Q51536944,Alex Music,SE
746,Q22969159,Doorn Records,
747,Q3038347,Downtown Records,US
748,Q40749179,Indochine Records,
749,Q1110777,Portrait,US
750,Q5972302,Ingrid,SE
751,Q917561,Kitsuné,FR
752,Q5204852,DEP International,GB
753,Q1308364,Fantasy,US
754,Q1984458,Capricorn Records,US
755,Q21089,Martin Kierszenbaum,
756,Q4869881,Battery Records,US
757,Q3896178,Parlophon,DE
758,Q3790169,I Dischi Dello Zodiaco,IT
759,Q7299689,Razzia Records,SE
760,Q776031,Bliss Corporation,IT
761,Q55315948,Big Loud,US
762,Q89190569,Grand Musique Management,FR
763,Q1971673,R&S Records,BE
764,Q2661783,Excelsior Recordings,NL
765,Q1072828,Kioon Music,JP
766,Q912649,Trustkill Records,US
767,Q18205278,Atlantic Records UK,GB
768,Q10269523,"EMI-Odeon Fonográfica, Industrial e Eletrônica S.A.",BR
769,Q2996526,Cooking Vinyl,GB
770,Q14942261,Noah's Ark,NL
771,Q1810123,Wichita Recordings,GB
772,Q283584,Rabid Records,
773,Q225269,GRGDN,TR
774,Q56640467,Question Everything,US
775,Q7535619,Skint Records,
776,Q11315207,Sony Music Associated Records,JP
777,Q19726033,GP Records,ID
